time,x,y,z
1766255389.7268982,-1.3582408e-05,9.432435e-06,-3.9994755
1766255389.826655,-7.0035458e-06,4.865229e-06,-3.9997294
1766255389.9267488,-2.9802322e-06,2.0712614e-06,-3.9998848
1766255390.0266266,-8.866191e-07,6.183982e-07,-3.9999657
1766255390.126736,-1.1175871e-07,8.195639e-08,-3.9999957
1766255390.2266955,0.0,0.0,-4.0
1766255390.4267871,0.038552895,0.007973503,-3.9721282
1766255390.5269065,0.03855905,0.007973493,-3.9721282
1766255390.6266427,0.038601767,0.007973425,-3.9721284
1766255390.7267606,0.0387166,0.007973241,-3.972129
1766255390.8265696,0.038937997,0.007972884,-3.9721303
1766255390.926605,0.039299343,0.007972304,-3.9721324
1766255391.0267797,0.039832927,0.007971446,-3.9721353
1766255391.126613,0.04057,0.007970261,-3.9721396
1766255391.2266665,0.04154075,0.007968701,-3.9721448
1766255391.326643,0.04277433,0.007966719,-3.9721518
1766255391.4266226,0.044298872,0.007964269,-3.9721603
1766255391.5267525,0.04614148,0.007961308,-3.9721708
1766255391.626589,0.048328266,0.007957794,-3.972183
1766255391.7266555,0.050884336,0.007953686,-3.9721975
1766255391.8266244,0.053833827,0.007948945,-3.972214
1766255391.9265862,0.057199895,0.007943536,-3.9722328
1766255392.0268402,0.061004736,0.007937421,-3.9722543
1766255392.1266499,0.065269604,0.0079305675,-3.9722784
1766255392.2264528,0.07001482,0.007922941,-3.9723048
1766255392.3266325,0.07525975,0.007914512,-3.9723344
1766255392.4266005,0.08102289,0.00790525,-3.9723668
1766255392.5271535,0.08732177,0.007895127,-3.972402
1766255392.6268117,0.0941731,0.007884117,-3.9724407
1766255392.7266555,0.10159266,0.007872192,-3.9724822
1766255392.8266175,0.10959535,0.007859332,-3.9725273
1766255392.9265199,0.118195266,0.007845511,-3.9725757
1766255393.0265112,0.12740558,0.007830709,-3.9726274
1766255393.127068,0.13723874,0.007814907,-3.9726825
1766255393.22652,0.1477062,0.007798084,-3.9727414
1766255393.326658,0.15881874,0.007780225,-3.9728038
1766255393.4266331,0.17058632,0.0077613136,-3.9728699
1766255393.526546,0.18301803,0.0077413344,-3.9729397
1766255393.626476,0.19612223,0.007720275,-3.9730134
1766255393.726502,0.20990656,0.0076981224,-3.9730906
1766255393.8265295,0.22437778,0.0076748654,-3.973172
1766255393.9266038,0.23954199,0.0076504955,-3.9732573
1766255394.0270312,0.2554046,0.007625003,-3.9733465
1766255394.1267188,0.2719701,0.0075983806,-3.9734395
1766255394.2265785,0.28924245,0.007570622,-3.9735365
1766255394.326521,0.30722487,0.0075417226,-3.9736376
1766255394.4266756,0.32591993,0.007511678,-3.9737425
1766255394.5284674,0.34532934,0.0074804854,-3.9738514
1766255394.6265476,0.36545426,0.007448143,-3.9739647
1766255394.7264743,0.38629526,0.0074146492,-3.9740818
1766255394.8265803,0.40785217,0.0073800054,-3.9742029
1766255394.9265587,0.4301241,0.0073442124,-3.9743278
1766255395.0264857,0.45310992,0.007307272,-3.974457
1766255395.1265175,0.47680724,0.0072691883,-3.97459
1766255395.2265007,0.50121367,0.0072299647,-3.9747272
1766255395.3265498,0.52632594,0.0071896072,-3.9748683
1766255395.4266186,0.5521402,0.007148121,-3.9750133
1766255395.5264995,0.5786521,0.007105514,-3.9751623
1766255395.6265423,0.6058567,0.0070617935,-3.975315
1766255395.7264278,0.6337486,0.007016969,-3.9754717
1766255395.8263931,0.662322,0.006971049,-3.9756322
1766255395.9266942,0.6915698,0.006924045,-3.9757967
1766255396.0265355,0.7214853,0.006875968,-3.9759645
1766255396.1264641,0.7520609,0.00682683,-3.9761364
1766255396.2264135,0.78328854,0.0067766444,-3.976312
1766255396.3263783,0.8151598,0.0067254244,-3.976491
1766255396.426393,0.8476658,0.006673184,-3.9766736
1766255396.5267086,0.8807967,0.00661994,-3.9768596
1766255396.6264155,0.91454273,0.006565707,-3.977049
1766255396.7264159,0.94889367,0.0065105017,-3.9772422
1766255396.8266072,0.9838388,0.0064543416,-3.9774384
1766255396.9264686,1.0193669,0.0063972445,-3.977638
1766255397.0263746,1.0554665,0.006339229,-3.977841
1766255397.1264224,1.0921253,0.006280315,-3.978047
1766255397.2263453,1.1293312,0.006220522,-3.9782557
1766255397.3264544,1.1670717,0.0061598695,-3.9784677
1766255397.426449,1.2053332,0.0060983794,-3.9786828
1766255397.5264187,1.2441028,0.0060360734,-3.9789007
1766255397.6263566,1.2833667,0.005972973,-3.9791212
1766255397.7263343,1.3231106,0.0059091006,-3.9793444
1766255397.8263793,1.36332,0.0058444804,-3.9795704
1766255397.926459,1.4039805,0.005779135,-3.9797988
1766255398.0265694,1.445077,0.0057130894,-3.9800296
1766255398.126425,1.4865943,0.0056463676,-3.9802628
1766255398.226351,1.5285169,0.005578994,-3.9804983
1766255398.3262923,1.5708293,0.005510994,-3.980736
1766255398.4263854,1.6135147,0.0054423944,-3.9809759
1766255398.5264075,1.6565576,0.005373221,-3.9812176
1766255398.626228,1.6999409,0.0053034993,-3.9814613
1766255398.7264028,1.7436485,0.0052332575,-3.9817069
1766255398.8263202,1.7876631,0.005162522,-3.981954
1766255398.9271822,1.8319681,0.00509132,-3.982203
1766255399.0264695,1.8765455,0.0050196797,-3.9824533
1766255399.1262727,1.9213784,0.004947629,-3.9827054
1766255399.2263079,1.9664488,0.004875197,-3.9829586
1766255399.3263743,2.0117397,0.0048024105,-3.983213
1766255399.4262562,2.0572324,0.0047292993,-3.9834685
1766255399.5263443,2.1029098,0.0046558916,-3.983725
1766255399.6262345,2.1487527,0.004582218,-3.9839826
1766255399.7263315,2.1947436,0.0045083063,-3.984241
1766255399.826426,2.2408643,0.004434186,-3.9845
1766255399.9261692,2.287096,0.004359887,-3.9847598
1766255400.026375,2.3334208,0.0042854394,-3.98502
1766255400.1262515,2.3798199,0.0042108716,-3.9852808
1766255400.2263505,2.4262743,0.004136215,-3.9855416
1766255400.3262985,2.4727662,0.004061498,-3.985803
1766255400.4263036,2.5192766,0.0039867517,-3.986064
1766255400.5261962,2.565787,0.003912005,-3.9863253
1766255400.6262465,2.612279,0.0038372884,-3.9865866
1766255400.7262032,2.6587336,0.0037626317,-3.9868474
1766255400.826444,2.7051322,0.0036880644,-3.9871082
1766255400.926196,2.751457,0.0036136163,-3.9873683
1766255401.0264542,2.7976887,0.0035393178,-3.9876282
1766255401.126209,2.8438096,0.003465197,-3.9878871
1766255401.2263405,2.8898005,0.0033912854,-3.9881456
1766255401.326204,2.935644,0.0033176108,-3.988403
1766255401.426368,2.9813209,0.003244204,-3.9886596
1766255401.5261939,3.0268137,0.0031710928,-3.9889152
1766255401.6263242,3.0721042,0.0030983067,-3.9891696
1766255401.7261972,3.1171749,0.003025874,-3.9894228
1766255401.8262417,3.1620078,0.0029538237,-3.9896748
1766255401.926252,3.2065852,0.0028821835,-3.9899251
1766255402.0263617,3.2508898,0.002810982,-3.990174
1766255402.1261632,3.2949042,0.0027402462,-3.9904213
1766255402.2261207,3.3386118,0.002670004,-3.9906669
1766255402.326235,3.3819962,0.002600282,-3.9909105
1766255402.4261866,3.4250386,0.002531109,-3.9911523
1766255402.526153,3.467724,0.002462509,-3.9913921
1766255402.6262484,3.5100362,0.0023945095,-3.9916298
1766255402.7262096,3.5519588,0.0023271362,-3.9918654
1766255402.8262715,3.593476,0.002260414,-3.9920986
1766255402.9262698,3.6345727,0.0021943683,-3.9923294
1766255403.026253,3.6752331,0.002129023,-3.9925578
1766255403.1261663,3.7154427,0.0020644027,-3.9927838
1766255403.2263305,3.7551863,0.0020005307,-3.993007
1766255403.326247,3.79445,0.0019374304,-3.9932275
1766255403.426172,3.8332195,0.0018751239,-3.9934454
1766255403.526112,3.8714812,0.0018136343,-3.9936604
1766255403.6261103,3.909222,0.0017529815,-3.9938724
1766255403.7261908,3.946428,0.0016931877,-3.9940813
1766255403.826197,3.9830866,0.0016342737,-3.9942873
1766255403.926086,4.019186,0.0015762588,-3.9944901
1766255404.0262234,4.054714,0.0015191617,-3.9946897
1766255404.1262176,4.089659,0.0014630021,-3.994886
1766255404.2260873,4.12401,0.0014077965,-3.995079
1766255404.3261251,4.1577563,0.0013535633,-3.9952686
1766255404.426123,4.190887,0.0013003191,-3.9954545
1766255404.5262585,4.223393,0.0012480794,-3.9956372
1766255404.626265,4.255264,0.0011968594,-3.9958162
1766255404.7259483,4.286492,0.0011466737,-3.9959917
1766255404.826201,4.3170676,0.0010975352,-3.9961636
1766255404.9262316,4.3469834,0.001049458,-3.9963315
1766255405.026284,4.376231,0.0010024542,-3.996496
1766255405.1260462,4.404804,0.0009565344,-3.9966564
1766255405.2260413,4.4326963,0.0009117094,-3.996813
1766255405.3261082,4.459901,0.0008679889,-3.996966
