time,x_est,y_est,z_est,x_sp,y_sp,z_sp
15979.5,-0.214161,0.0432874,-1.15931,0.0867183,0.0567837,-3.97241
15979.5,-0.21369,0.0427506,-1.15959,0.0922083,0.0623596,-3.97249
15979.5,-0.213215,0.0422081,-1.15987,0.0979719,0.0682133,-3.97257
15979.5,-0.21229,0.041101,-1.16041,0.104011,0.0743474,-3.97266
15979.5,-0.211824,0.0405393,-1.16067,0.110329,0.080764,-3.97275
15979.5,-0.211356,0.0399729,-1.16093,0.116927,0.0874649,-3.97284
15979.5,-0.210886,0.0394022,-1.16121,0.123806,0.0944517,-3.97294
15979.6,-0.209944,0.0382485,-1.16176,0.130968,0.101726,-3.97305
15979.6,-0.209471,0.0376659,-1.16203,0.138414,0.109288,-3.97315
15979.6,-0.208739,0.0364576,-1.16303,0.146144,0.117139,-3.97326
15979.6,-0.20801,0.035259,-1.16401,0.15416,0.12528,-3.97338
15979.6,-0.206566,0.0328909,-1.16595,0.16246,0.133711,-3.9735
15979.6,-0.205849,0.0317212,-1.16689,0.171046,0.142431,-3.97362
15979.6,-0.205137,0.0305605,-1.16781,0.179916,0.15144,-3.97375
15979.6,-0.204429,0.0294084,-1.16872,0.189071,0.160738,-3.97388
15979.6,-0.203027,0.0271287,-1.17049,0.198509,0.170324,-3.97402
15979.7,-0.202335,0.0260007,-1.17135,0.20823,0.180196,-3.97416
15979.7,-0.201648,0.024881,-1.1722,0.218231,0.190354,-3.9743
15979.7,-0.200965,0.0237697,-1.17303,0.228513,0.200796,-3.97445
15979.7,-0.199614,0.0215716,-1.17465,0.239072,0.211521,-3.9746
15979.7,-0.198945,0.020485,-1.17545,0.249907,0.222525,-3.97476
15979.7,-0.198282,0.0194068,-1.17623,0.261016,0.233808,-3.97492
15979.7,-0.197655,0.0182988,-1.17737,0.272396,0.245366,-3.97509
15979.7,-0.196411,0.0161121,-1.17959,0.284044,0.257197,-3.97525
